Sat;DanUTjednu;Mjesec;Temperatura;Potrosnja
11;4;2;-0.2;401.75
12;4;2;0.5;415.0
13;4;2;1.5;408.5
14;4;2;1.6;376.25
15;4;2;1.4;356.75
16;4;2;0.1;316.25
17;4;2;-0.9;301.0
18;4;2;-2.0;273.0
19;4;2;-2.7;242.5
20;4;2;-3.5;230.0
21;4;2;-4.3;220.25
22;4;2;-4.5;199.5
23;4;2;-4.7;194.0
0;5;2;-5.3;186.75
1;5;2;-4.8;183.0
2;5;2;-4.4;179.0
3;5;2;-4.5;177.75
4;5;2;-4.1;177.5
5;5;2;-3.4;187.5
6;5;2;-4.4;237.75
7;5;2;-4.5;270.75
8;5;2;-3.3;320.5
9;5;2;0.5;343.0
10;5;2;2.4;351.75
11;5;2;4.2;384.5
12;5;2;5.1;360.0
13;5;2;6.9;362.0
14;5;2;7.4;350.75
15;5;2;7.2;333.5
16;5;2;6.4;286.25
17;5;2;4.7;277.5
18;5;2;0.6;254.5
19;5;2;-0.2;222.75
20;5;2;-0.7;204.75
21;5;2;-1.4;191.0
22;5;2;-1.7;174.5
23;5;2;-1.4;171.0
0;6;2;-2.1;175.0
1;6;2;-2.2;173.25
2;6;2;-1.7;172.5
3;6;2;-2.2;170.75
4;6;2;-2.4;168.25
5;6;2;-3.0;168.25
6;6;2;-3.0;178.0
7;6;2;-2.8;189.75
8;6;2;-0.7;182.25
9;6;2;2.0;185.25
10;6;2;5.0;184.5
11;6;2;6.4;184.75
12;6;2;9.6;185.0
13;6;2;12.8;185.75
14;6;2;15.1;187.5
15;6;2;14.8;181.0
16;6;2;12.7;181.25
17;6;2;5.3;181.25
18;6;2;3.4;186.75
19;6;2;1.4;185.25
20;6;2;1.1;179.75
21;6;2;0.2;179.0
22;6;2;-0.6;177.25
23;6;2;-1.1;174.75
0;7;2;-1.4;173.25
1;7;2;-2.1;174.75
2;7;2;-2.3;169.5
3;7;2;-2.2;170.25
4;7;2;-2.3;169.25
5;7;2;-2.9;170.25
6;7;2;-2.9;177.5
7;7;2;-2.8;170.75
8;7;2;1.1;171.5
9;7;2;4.8;172.5
10;7;2;7.2;172.75
11;7;2;10.2;174.75
12;7;2;11.5;176.0
13;7;2;12.4;178.25
14;7;2;13.5;179.0
15;7;2;13.3;180.25
16;7;2;11.3;175.25
17;7;2;5.5;185.25
18;7;2;3.5;191.0
19;7;2;2.5;188.25
20;7;2;2.2;184.25
21;7;2;1.8;178.0
22;7;2;1.3;170.5
23;7;2;0.6;168.75
0;1;2;0.0;166.0
1;1;2;-0.7;168.25
2;1;2;-1.4;167.5
3;1;2;-1.6;166.75
4;1;2;-2.0;167.75
5;1;2;-2.4;177.0
6;1;2;-2.5;215.25
7;1;2;-2.2;268.25
8;1;2;1.2;303.25
9;1;2;4.0;377.75
10;1;2;6.8;366.75
11;1;2;9.6;366.5
12;1;2;13.5;384.75
13;1;2;15.6;381.25
14;1;2;17.0;372.0
15;1;2;16.5;365.0
16;1;2;13.9;300.75
17;1;2;7.2;293.75
18;1;2;4.6;265.25
19;1;2;3.6;238.0
20;1;2;3.5;222.75
21;1;2;2.5;213.75
22;1;2;1.5;196.25
23;1;2;0.6;185.5
0;2;2;0.4;181.0
1;2;2;-0.8;178.0
2;2;2;-1.6;177.25
3;2;2;-1.9;179.0
4;2;2;-2.4;178.5
5;2;2;-2.7;186.5
6;2;2;-2.8;234.0
7;2;2;-2.6;292.25
8;2;2;1.5;317.75
9;2;2;3.9;344.75
10;2;2;7.8;363.75
11;2;2;10.4;361.0
12;2;2;12.2;362.0
13;2;2;14.6;375.25
14;2;2;14.7;353.5
15;2;2;14.8;345.75
16;2;2;13.3;294.25
17;2;2;10.4;276.5
18;2;2;8.2;265.0
19;2;2;6.4;233.0
20;2;2;6.3;218.75
21;2;2;8.4;211.25
22;2;2;7.7;191.5
23;2;2;6.7;185.0
0;3;2;4.5;181.5
1;3;2;2.4;179.0
2;3;2;2.7;176.5
3;3;2;2.4;176.0
4;3;2;1.6;176.25
5;3;2;1.6;182.5
6;3;2;1.4;230.75
7;3;2;2.2;274.5
8;3;2;5.7;319.5
9;3;2;7.5;376.25
10;3;2;8.7;378.75
11;3;2;10.6;398.25
12;3;2;10.9;414.75
13;3;2;11.4;398.0
14;3;2;11.8;403.75
15;3;2;11.6;372.0
16;3;2;10.5;306.75
